x	f(x)	z
3.340000	2.768913	0.359576
3.350000	2.772509	0.359109
3.360000	2.776100	0.358644
3.370000	2.779687	0.358180
3.380000	2.783268	0.357719
3.390000	2.786846	0.357259
3.400000	2.790418	0.356801
3.410000	2.793986	0.356345
3.420000	2.797550	0.355890
3.430000	2.801108	0.355438
3.440000	2.804663	0.354987
3.450000	2.808213	0.354537
3.460000	2.811758	0.354090
3.470000	2.815299	0.353644
3.480000	2.818835	0.353200
3.490000	2.822367	0.352757
3.500000	2.825895	0.352316
3.510000	2.829418	0.351877
3.520000	2.832937	0.351439
3.530000	2.836451	0.351003
3.540000	2.839961	0.350569
3.550000	2.843467	0.350136
3.560000	2.846968	0.349705
3.570000	2.850465	0.349275
3.580000	2.853958	0.348847
3.590000	2.857447	0.348421
3.600000	2.860931	0.347996
3.610000	2.864411	0.347573
3.620000	2.867887	0.347151
3.630000	2.871358	0.346731
3.640000	2.874825	0.346312
3.650000	2.878289	0.345895
3.660000	2.881747	0.345479
3.670000	2.885202	0.345065
3.680000	2.888653	0.344653
3.690000	2.892099	0.344241
3.700000	2.895542	0.343832
3.710000	2.898980	0.343423
3.720000	2.902414	0.343016
3.730000	2.905845	0.342611
3.740000	2.909271	0.342207
3.750000	2.912693	0.341805
3.760000	2.916111	0.341403
3.770000	2.919525	0.341004
3.780000	2.922935	0.340605
3.790000	2.926341	0.340209
3.800000	2.929743	0.339813
3.810000	2.933141	0.339419
3.820000	2.936535	0.339026
3.830000	2.939926	0.338635
3.840000	2.943312	0.338245
3.850000	2.946694	0.337856
3.860000	2.950073	0.337469
3.870000	2.953448	0.337083
3.880000	2.956818	0.336698
3.890000	2.960185	0.336314
3.900000	2.963549	0.335932
3.910000	2.966908	0.335552
3.920000	2.970263	0.335172
3.930000	2.973615	0.334794
3.940000	2.976963	0.334417
3.950000	2.980307	0.334041
3.960000	2.983648	0.333667
3.970000	2.986984	0.333294
3.980000	2.990317	0.332922
3.990000	2.993646	0.332551
4.000000	2.996972	0.332182
4.010000	3.000294	0.331814
4.020000	3.003612	0.331447
4.030000	3.006926	0.331081
4.040000	3.010237	0.330716
4.050000	3.013544	0.330353
4.060000	3.016848	0.329991
4.070000	3.020148	0.329630
4.080000	3.023444	0.329270
4.090000	3.026737	0.328911
4.100000	3.030026	0.328554
4.110000	3.033311	0.328198
4.120000	3.036593	0.327843
4.130000	3.039872	0.327489
4.140000	3.043147	0.327136
4.150000	3.046418	0.326784
4.160000	3.049686	0.326434
4.170000	3.052950	0.326084
4.180000	3.056211	0.325736
4.190000	3.059468	0.325389
4.200000	3.062722	0.325043
4.210000	3.065973	0.324698
4.220000	3.069220	0.324354
4.230000	3.072463	0.324011
4.240000	3.075703	0.323669
4.250000	3.078940	0.323329
4.260000	3.082173	0.322989
4.270000	3.085403	0.322651
4.280000	3.088630	0.322313
4.290000	3.091853	0.321977
4.300000	3.095073	0.321642
4.310000	3.098289	0.321308
4.320000	3.101502	0.320974
4.330000	3.104712	0.320642
4.340000	3.107918	0.320311
4.350000	3.111121	0.319981
4.360000	3.114321	0.319652
4.370000	3.117518	0.319324
4.380000	3.120711	0.318997
4.390000	3.123901	0.318671
4.400000	3.127088	0.318345
4.410000	3.130271	0.318021
4.420000	3.133451	0.317698
4.430000	3.136628	0.317376
4.440000	3.139802	0.317055
4.450000	3.142973	0.316735
4.460000	3.146140	0.316416
4.470000	3.149304	0.316097
4.480000	3.152465	0.315780
4.490000	3.155623	0.315464
4.500000	3.158778	0.315149
4.510000	3.161929	0.314834
4.520000	3.165077	0.314521
4.530000	3.168223	0.314208
4.540000	3.171365	0.313896
4.550000	3.174504	0.313586
4.560000	3.177640	0.313276
4.570000	3.180772	0.312967
4.580000	3.183902	0.312659
4.590000	3.187029	0.312352
4.600000	3.190152	0.312046
4.610000	3.193273	0.311741
4.620000	3.196390	0.311436
4.630000	3.199504	0.311133
4.640000	3.202616	0.310830
4.650000	3.205724	0.310529
4.660000	3.208829	0.310228
4.670000	3.211932	0.309928
4.680000	3.215031	0.309629
4.690000	3.218127	0.309331
4.700000	3.221220	0.309033
4.710000	3.224311	0.308737
4.720000	3.227398	0.308441
4.730000	3.230483	0.308147
4.740000	3.233564	0.307853
4.750000	3.236643	0.307560
4.760000	3.239718	0.307267
4.770000	3.242791	0.306976
4.780000	3.245861	0.306685
4.790000	3.248927	0.306396
4.800000	3.251991	0.306107
4.810000	3.255052	0.305818
4.820000	3.258111	0.305531
4.830000	3.261166	0.305245
4.840000	3.264218	0.304959
4.850000	3.267268	0.304674
4.860000	3.270315	0.304390
4.870000	3.273359	0.304107
4.880000	3.276400	0.303824
4.890000	3.279438	0.303542
4.900000	3.282473	0.303261
4.910000	3.285506	0.302981
4.920000	3.288536	0.302702
4.930000	3.291563	0.302423
4.940000	3.294587	0.302145
4.950000	3.297608	0.301868
4.960000	3.300627	0.301592
4.970000	3.303643	0.301316
4.980000	3.306656	0.301041
4.990000	3.309667	0.300767
5.000000	3.312674	0.300494
5.010000	3.315679	0.300221
5.020000	3.318681	0.299950
5.030000	3.321681	0.299679
5.040000	3.324678	0.299408
5.050000	3.327672	0.299139
5.060000	3.330663	0.298870
5.070000	3.333652	0.298601
5.080000	3.336638	0.298334
5.090000	3.339621	0.298067
5.100000	3.342602	0.297801
5.110000	3.345580	0.297536
5.120000	3.348555	0.297271
5.130000	3.351528	0.297007
5.140000	3.354498	0.296744
5.150000	3.357466	0.296482
5.160000	3.360430	0.296220
5.170000	3.363393	0.295959
5.180000	3.366352	0.295698
5.190000	3.369309	0.295439
5.200000	3.372263	0.295180
5.210000	3.375215	0.294921
5.220000	3.378165	0.294663
5.230000	3.381111	0.294406
5.240000	3.384055	0.294150
5.250000	3.386997	0.293894
5.260000	3.389936	0.293639
5.270000	3.392872	0.293385
5.280000	3.395806	0.293131
5.290000	3.398737	0.292878
5.300000	3.401666	0.292626
5.310000	3.404592	0.292374
5.320000	3.407516	0.292123
5.330000	3.410437	0.291873
5.340000	3.413356	0.291623
5.350000	3.416272	0.291374
5.360000	3.419186	0.291125
5.370000	3.422097	0.290877
5.380000	3.425006	0.290630
5.390000	3.427912	0.290383
5.400000	3.430816	0.290137
5.410000	3.433717	0.289892
5.420000	3.436616	0.289647
5.430000	3.439513	0.289403
5.440000	3.442407	0.289160
5.450000	3.445298	0.288917
5.460000	3.448188	0.288675
5.470000	3.451074	0.288433
5.480000	3.453959	0.288192
5.490000	3.456841	0.287951
5.500000	3.459720	0.287712
5.510000	3.462597	0.287472
5.520000	3.465472	0.287234
5.530000	3.468344	0.286996
5.540000	3.471214	0.286758
5.550000	3.474082	0.286521
5.560000	3.476947	0.286285
5.570000	3.479810	0.286049
5.580000	3.482670	0.285814
5.590000	3.485529	0.285579
5.600000	3.488384	0.285345
5.610000	3.491238	0.285112
5.620000	3.494089	0.284879
5.630000	3.496938	0.284647
5.640000	3.499784	0.284415
5.650000	3.502628	0.284184
5.660000	3.505470	0.283954
5.670000	3.508310	0.283724
5.680000	3.511147	0.283494
5.690000	3.513982	0.283265
5.700000	3.516815	0.283037
5.710000	3.519645	0.282809
5.720000	3.522473	0.282582
5.730000	3.525299	0.282355
5.740000	3.528122	0.282129
5.750000	3.530944	0.281903
5.760000	3.533763	0.281678
5.770000	3.536579	0.281454
5.780000	3.539394	0.281230
5.790000	3.542206	0.281006
5.800000	3.545016	0.280783
5.810000	3.547824	0.280561
5.820000	3.550630	0.280339
5.830000	3.553433	0.280118
5.840000	3.556234	0.279897
5.850000	3.559033	0.279677
5.860000	3.561830	0.279457
5.870000	3.564625	0.279238
5.880000	3.567417	0.279019
5.890000	3.570207	0.278801
5.900000	3.572995	0.278583
5.910000	3.575781	0.278366
5.920000	3.578565	0.278149
5.930000	3.581346	0.277933
5.940000	3.584126	0.277717
5.950000	3.586903	0.277502
5.960000	3.589678	0.277287
5.970000	3.592451	0.277073
5.980000	3.595221	0.276859
5.990000	3.597990	0.276646
6.000000	3.600756	0.276433
6.010000	3.603521	0.276221
6.020000	3.606283	0.276009
6.030000	3.609043	0.275798
6.040000	3.611801	0.275587
6.050000	3.614557	0.275377
6.060000	3.617311	0.275167
6.070000	3.620062	0.274958
6.080000	3.622812	0.274749
6.090000	3.625559	0.274541
6.100000	3.628305	0.274333
6.110000	3.631048	0.274126
6.120000	3.633789	0.273919
6.130000	3.636529	0.273712
6.140000	3.639266	0.273506
6.150000	3.642001	0.273301
6.160000	3.644734	0.273095
6.170000	3.647465	0.272891
6.180000	3.650194	0.272687
6.190000	3.652921	0.272483
6.200000	3.655645	0.272280
6.210000	3.658368	0.272077
6.220000	3.661089	0.271875
6.230000	3.663808	0.271673
6.240000	3.666524	0.271471
6.250000	3.669239	0.271270
6.260000	3.671952	0.271070
6.270000	3.674663	0.270870
6.280000	3.677371	0.270670
6.290000	3.680078	0.270471
6.300000	3.682783	0.270272
6.310000	3.685485	0.270074
6.320000	3.688186	0.269876
6.330000	3.690885	0.269678
6.340000	3.693582	0.269481
6.350000	3.696276	0.269285
6.360000	3.698969	0.269088
6.370000	3.701660	0.268893
6.380000	3.704349	0.268697
6.390000	3.707036	0.268502
6.400000	3.709721	0.268308
6.410000	3.712404	0.268114
6.420000	3.715085	0.267920
6.430000	3.717764	0.267727
6.440000	3.720442	0.267534
6.450000	3.723117	0.267342
6.460000	3.725791	0.267150
6.470000	3.728462	0.266958
6.480000	3.731132	0.266767
6.490000	3.733799	0.266576
6.500000	3.736465	0.266386
6.510000	3.739129	0.266196
6.520000	3.741791	0.266007
6.530000	3.744451	0.265818
6.540000	3.747109	0.265629
6.550000	3.749765	0.265441
6.560000	3.752420	0.265253
6.570000	3.755072	0.265065
6.580000	3.757723	0.264878
6.590000	3.760372	0.264691
6.600000	3.763019	0.264505
6.610000	3.765664	0.264319
6.620000	3.768307	0.264134
6.630000	3.770948	0.263948
6.640000	3.773588	0.263764
6.650000	3.776225	0.263579
6.660000	3.778861	0.263395
6.670000	3.781495	0.263212
6.680000	3.784127	0.263029
6.690000	3.786757	0.262846
6.700000	3.789386	0.262663
6.710000	3.792013	0.262481
6.720000	3.794637	0.262299
6.730000	3.797260	0.262118
6.740000	3.799882	0.261937
6.750000	3.802501	0.261757
6.760000	3.805119	0.261576
6.770000	3.807734	0.261397
6.780000	3.810348	0.261217
6.790000	3.812960	0.261038
6.800000	3.815571	0.260859
6.810000	3.818179	0.260681
6.820000	3.820786	0.260503
6.830000	3.823391	0.260326
6.840000	3.825994	0.260148
6.850000	3.828596	0.259971
6.860000	3.831196	0.259795
6.870000	3.833794	0.259619
6.880000	3.836390	0.259443
6.890000	3.838984	0.259267
6.900000	3.841577	0.259092
6.910000	3.844168	0.258918
6.920000	3.846757	0.258743
6.930000	3.849344	0.258569
6.940000	3.851930	0.258395
6.950000	3.854514	0.258222
6.960000	3.857096	0.258049
6.970000	3.859677	0.257876
6.980000	3.862256	0.257704
6.990000	3.864833	0.257532
7.000000	3.867408	0.257361
7.010000	3.869982	0.257189
7.020000	3.872553	0.257018
7.030000	3.875124	0.256848
7.040000	3.877692	0.256678
7.050000	3.880259	0.256508
7.060000	3.882824	0.256338
7.070000	3.885387	0.256169
7.080000	3.887949	0.256000
7.090000	3.890509	0.255831
7.100000	3.893067	0.255663
7.110000	3.895624	0.255495
7.120000	3.898179	0.255328
7.130000	3.900732	0.255161
7.140000	3.903284	0.254994
7.150000	3.905834	0.254827
7.160000	3.908382	0.254661
7.170000	3.910929	0.254495
7.180000	3.913474	0.254329
7.190000	3.916017	0.254164
7.200000	3.918559	0.253999
7.210000	3.921099	0.253834
7.220000	3.923637	0.253670
7.230000	3.926174	0.253506
7.240000	3.928709	0.253342
7.250000	3.931242	0.253179
7.260000	3.933774	0.253016
7.270000	3.936304	0.252853
7.280000	3.938833	0.252691
7.290000	3.941359	0.252529
7.300000	3.943885	0.252367
7.310000	3.946408	0.252205
7.320000	3.948930	0.252044
7.330000	3.951451	0.251883
7.340000	3.953970	0.251723
7.350000	3.956487	0.251563
7.360000	3.959003	0.251403
7.370000	3.961517	0.251243
7.380000	3.964029	0.251084
7.390000	3.966540	0.250925
7.400000	3.969049	0.250766
7.410000	3.971557	0.250607
7.420000	3.974063	0.250449
7.430000	3.976567	0.250291
7.440000	3.979070	0.250134
7.450000	3.981572	0.249977
7.460000	3.984071	0.249820
7.470000	3.986570	0.249663
7.480000	3.989066	0.249507
7.490000	3.991561	0.249351
7.500000	3.994055	0.249195
7.510000	3.996547	0.249039
7.520000	3.999037	0.248884
7.530000	4.001526	0.248729
7.540000	4.004013	0.248575
7.550000	4.006499	0.248420
7.560000	4.008983	0.248266
7.570000	4.011466	0.248113
7.580000	4.013947	0.247959
7.590000	4.016427	0.247806
7.600000	4.018905	0.247653
7.610000	4.021381	0.247500
7.620000	4.023856	0.247348
7.630000	4.026330	0.247196
7.640000	4.028802	0.247044
7.650000	4.031272	0.246893
7.660000	4.033741	0.246742
7.670000	4.036208	0.246591
7.680000	4.038674	0.246440
7.690000	4.041139	0.246290
7.700000	4.043602	0.246140
7.710000	4.046063	0.245990
7.720000	4.048523	0.245840
7.730000	4.050981	0.245691
7.740000	4.053438	0.245542
7.750000	4.055894	0.245393
7.760000	4.058348	0.245245
7.770000	4.060800	0.245096
7.780000	4.063251	0.244949
7.790000	4.065700	0.244801
7.800000	4.068148	0.244653
7.810000	4.070595	0.244506
7.820000	4.073040	0.244359
7.830000	4.075484	0.244213
7.840000	4.077926	0.244067
7.850000	4.080366	0.243920
7.860000	4.082806	0.243775
7.870000	4.085243	0.243629
7.880000	4.087680	0.243484
7.890000	4.090115	0.243339
7.900000	4.092548	0.243194
7.910000	4.094980	0.243049
7.920000	4.097410	0.242905
7.930000	4.099839	0.242761
7.940000	4.102267	0.242617
7.950000	4.104693	0.242474
7.960000	4.107118	0.242331
7.970000	4.109541	0.242188
7.980000	4.111963	0.242045
7.990000	4.114384	0.241903
8.000000	4.116803	0.241760
8.010000	4.119220	0.241618
8.020000	4.121636	0.241477
8.030000	4.124051	0.241335
8.040000	4.126464	0.241194
8.050000	4.128876	0.241053
8.060000	4.131287	0.240912
8.070000	4.133696	0.240772
8.080000	4.136104	0.240632
8.090000	4.138510	0.240492
8.100000	4.140915	0.240352
8.110000	4.143319	0.240212
8.120000	4.145721	0.240073
8.130000	4.148121	0.239934
8.140000	4.150521	0.239795
8.150000	4.152919	0.239657
8.160000	4.155315	0.239518
8.170000	4.157710	0.239380
8.180000	4.160104	0.239242
8.190000	4.162497	0.239105
8.200000	4.164888	0.238968
8.210000	4.167277	0.238830
8.220000	4.169666	0.238694
8.230000	4.172053	0.238557
8.240000	4.174438	0.238420
8.250000	4.176822	0.238284
8.260000	4.179205	0.238148
8.270000	4.181587	0.238013
8.280000	4.183967	0.237877
8.290000	4.186346	0.237742
8.300000	4.188723	0.237607
8.310000	4.191099	0.237472
8.320000	4.193474	0.237338
8.330000	4.195847	0.237203
8.340000	4.198219	0.237069
8.350000	4.200590	0.236935
8.360000	4.202959	0.236802
8.370000	4.205327	0.236668
8.380000	4.207694	0.236535
8.390000	4.210059	0.236402
8.400000	4.212423	0.236269
8.410000	4.214786	0.236137
8.420000	4.217147	0.236005
8.430000	4.219507	0.235872
8.440000	4.221866	0.235741
8.450000	4.224224	0.235609
8.460000	4.226580	0.235478
8.470000	4.228934	0.235346
8.480000	4.231288	0.235215
8.490000	4.233640	0.235085
8.500000	4.235991	0.234954
8.510000	4.238340	0.234824
8.520000	4.240689	0.234694
8.530000	4.243036	0.234564
8.540000	4.245381	0.234434
8.550000	4.247726	0.234305
8.560000	4.250069	0.234175
8.570000	4.252410	0.234046
8.580000	4.254751	0.233918
8.590000	4.257090	0.233789
8.600000	4.259428	0.233661
8.610000	4.261765	0.233532
8.620000	4.264100	0.233404
8.630000	4.266434	0.233277
8.640000	4.268767	0.233149
8.650000	4.271098	0.233022
8.660000	4.273428	0.232895
8.670000	4.275757	0.232768
8.680000	4.278085	0.232641
8.690000	4.280411	0.232514
8.700000	4.282737	0.232388
8.710000	4.285060	0.232262
8.720000	4.287383	0.232136
8.730000	4.289704	0.232011
8.740000	4.292025	0.231885
8.750000	4.294343	0.231760
8.760000	4.296661	0.231635
8.770000	4.298977	0.231510
8.780000	4.301292	0.231385
8.790000	4.303606	0.231261
8.800000	4.305919	0.231136
8.810000	4.308230	0.231012
8.820000	4.310540	0.230888
8.830000	4.312849	0.230765
8.840000	4.315157	0.230641
8.850000	4.317463	0.230518
8.860000	4.319768	0.230395
8.870000	4.322072	0.230272
8.880000	4.324375	0.230149
8.890000	4.326677	0.230027
8.900000	4.328977	0.229905
8.910000	4.331276	0.229782
8.920000	4.333574	0.229661
8.930000	4.335870	0.229539
8.940000	4.338166	0.229417
8.950000	4.340460	0.229296
8.960000	4.342753	0.229175
8.970000	4.345045	0.229054
8.980000	4.347335	0.228933
8.990000	4.349625	0.228813
9.000000	4.351913	0.228692
9.010000	4.354200	0.228572
9.020000	4.356485	0.228452
9.030000	4.358770	0.228332
9.040000	4.361053	0.228213
9.050000	4.363335	0.228093
9.060000	4.365616	0.227974
9.070000	4.367896	0.227855
9.080000	4.370175	0.227736
9.090000	4.372452	0.227617
9.100000	4.374728	0.227499
9.110000	4.377003	0.227381
9.120000	4.379277	0.227263
9.130000	4.381549	0.227145
9.140000	4.383821	0.227027
9.150000	4.386091	0.226909
9.160000	4.388360	0.226792
9.170000	4.390628	0.226675
9.180000	4.392895	0.226558
9.190000	4.395161	0.226441
9.200000	4.397425	0.226324
9.210000	4.399688	0.226208
9.220000	4.401950	0.226091
9.230000	4.404211	0.225975
9.240000	4.406471	0.225859
9.250000	4.408730	0.225744
9.260000	4.410987	0.225628
9.270000	4.413243	0.225513
9.280000	4.415498	0.225397
9.290000	4.417752	0.225282
9.300000	4.420005	0.225167
